obsnme,obsval,ROW,COLUMN,TIME,spec
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:112_j:60_time:60_spec:ctet,0.0,112,60,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:53_time:60_spec:ctet,0.0,105,53,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:57_time:60_spec:ctet,0.0,105,57,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:107_j:59_time:60_spec:ctet,0.0,107,59,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:60_time:60_spec:ctet,0.0,116,60,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:59_time:60_spec:ctet,0.0,120,59,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:58_time:60_spec:ctet,0.0,100,58,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:100_j:54_time:60_spec:ctet,0.0,100,54,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:103_j:58_time:60_spec:ctet,0.0,103,58,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:105_j:53_time:60_spec:ctet,0.0,105,53,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:113_j:60_time:60_spec:ctet,0.0,113,60,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:112_j:60_time:60_spec:ctet,0.0,112,60,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:111_j:61_time:60_spec:ctet,0.0,111,61,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:106_j:58_time:60_spec:ctet,0.0,106,58,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:97_j:58_time:60_spec:ctet,0.0,97,58,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:108_j:64_time:60_spec:ctet,0.0,108,64,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:63_time:60_spec:ctet,0.0,118,63,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:115_j:53_time:60_spec:ctet,0.0,115,53,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:43_time:60_spec:ctet,0.0,116,43,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:43_time:60_spec:ctet,0.0,118,43,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:42_time:60_spec:ctet,0.0,120,42,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:122_j:42_time:60_spec:ctet,0.0,122,42,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:51_time:60_spec:ctet,0.0,116,51,60,ctet
