,obsval,obsnme,weight,time,i,j,wellname,obgnme,standard_deviation,datetime
68,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2282_spec:ctet,0.001,2282,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-03-31
69,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2312_spec:ctet,0.001,2312,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-04-30
70,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2343_spec:ctet,0.001,2343,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-05-31
71,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2373_spec:ctet,0.001,2373,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-06-30
72,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2404_spec:ctet,0.001,2404,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-07-31
73,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2435_spec:ctet,0.001,2435,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-08-31
74,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2465_spec:ctet,0.001,2465,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-09-30
75,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2496_spec:ctet,0.001,2496,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-10-31
76,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2526_spec:ctet,0.001,2526,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-11-30
77,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2557_spec:ctet,0.001,2557,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2018-12-31
