WELL_NAME         WELL_ID         X         Y         TOP         BOT         ROW         COLUMN         delx         dely         area
299-W15-13         A4918         566845.438         136369.500         145.272         136.738         33         46         200.0000         200.0000         40000.0000
299-W14-15         C3114         566899.688         136230.656         137.604         126.976         33         46         200.0000         200.0000         40000.0000
299-W14-12         A4914         566905.688         136284.172         143.924         137.828         33         46         200.0000         200.0000         40000.0000
299-W14-13         B8549         566901.688         136282.375         138.320         128.280         33         46         200.0000         200.0000         40000.0000
299-W14-16         C3120         567001.313         136318.484         137.416         126.766         33         47         200.0000         200.0000         40000.0000
299-W14-17         C3121         567006.750         136218.344         137.432         126.758         33         47         200.0000         200.0000         40000.0000
299-E28-17         A4820         573461.200         136331.686         127.992         113.971         33         79         200.0000         200.0000         40000.0000
299-E28-6         A4826         573782.438         136388.391         119.912         111.225         33         80         200.0000         200.0000         40000.0000
299-E24-25         C7514         574598.560         136287.230         123.248         117.152         33         84         200.0000         200.0000         40000.0000
299-E27-5         A6672         574688.688         136306.469         129.174         109.972         33         85         200.0000         200.0000         40000.0000
299-E24-33         C4257         575325.400         136251.450         122.035         112.282         33         88         200.0000         200.0000         40000.0000
299-E25-40         A4789         575464.688         136212.313         126.300         119.900         33         89         200.0000         200.0000         40000.0000
299-E25-10         A4760         575630.063         136267.594         131.580         115.083         33         90         200.0000         200.0000         40000.0000
299-E26-4         A4804         575733.962         136360.882         129.995         112.926         33         90         200.0000         200.0000         40000.0000
299-E26-12         A4801         576197.688         136383.203         125.928         119.527         33         92         200.0000         200.0000         40000.0000
299-E25-43         A4792         576132.313         136251.500         125.459         119.149         33         92         200.0000         200.0000         40000.0000
699-42-42A         A8670         577086.862         136289.790         130.089         110.581         33         97         200.0000         200.0000         40000.0000
699-42-41         A5170         577335.188         136365.594         132.040         125.700         33         98         200.0000         200.0000         40000.0000
699-42-39A         A5165         577857.063         136251.750         118.456         115.286         33         101         200.0000         200.0000         40000.0000
699-42-39B         A5166         577859.063         136236.406         108.272         105.071         33         101         200.0000         200.0000         40000.0000
699-42-37         A5164         578476.750         136247.219         114.399         111.360         33         104         200.0000         200.0000         40000.0000
699-42-2         A8660         589310.438         136342.703         109.785         104.908         33         158         200.0000         200.0000         40000.0000
299-W15-11         A5474         566412.313         136000.719         152.483         117.735         34         44         200.0000         200.0000         40000.0000
299-W15-22         A4925         566683.063         136110.922         144.043         137.659         34         45         200.0000         200.0000         40000.0000
299-W15-41         B8815         566757.563         136031.688         136.976         132.398         34         45         200.0000         200.0000         40000.0000
299-W14-14         B8547         566898.375         136181.047         138.486         127.811         34         46         200.0000         200.0000         40000.0000
299-W14-19         C3957         566898.625         136135.063         136.776         126.108         34         46         200.0000         200.0000         40000.0000
299-W14-6         A7331         566899.188         136100.828         144.120         134.976         34         46         200.0000         200.0000         40000.0000
299-W14-5         A5475         566899.250         136039.875         146.287         135.619         34         46         200.0000         200.0000         40000.0000
