TIME,WELL_NAME,MASS_KG
6483,299-W14-74,22.65669
6848,299-W14-74,17.59300263
7213,299-W14-74,13.90980841
7578,299-W14-74,11.17749631
7944,299-W14-74,9.160037332
8309,299-W14-74,7.59748635
9447.8418,299-W14-74,0
10025.8174,299-W14-74,0
10609.5723,299-W14-74,0
11199.165,299-W14-74,0
11794.6533,299-W14-74,0
12396.0967,299-W14-74,0
13003.5547,299-W14-74,0
13617.0869,299-W14-74,0
14236.7549,299-W14-74,0
14862.6191,299-W14-74,0
15494.7422,299-W14-74,0
16133.1865,299-W14-74,0
16778.0156,299-W14-74,0
17429.293,299-W14-74,0
18087.082,299-W14-74,0
18751.4492,299-W14-74,0
19422.4609,299-W14-74,0
20100.1816,299-W14-74,0
20784.6797,299-W14-74,0
21476.0234,299-W14-74,0
22174.2813,299-W14-74,0
22879.5215,299-W14-74,0
23591.8145,299-W14-74,0
24311.2305,299-W14-74,0
25037.8398,299-W14-74,0
25771.7148,299-W14-74,0
26512.9297,299-W14-74,0
27261.5566,299-W14-74,0
28017.6699,299-W14-74,0
28781.3438,299-W14-74,0
29552.6543,299-W14-74,0
30331.6777,299-W14-74,0
31118.4922,299-W14-74,0
31913.1738,299-W14-74,0
32715.8027,299-W14-74,0
33526.457,299-W14-74,0
34345.2188,299-W14-74,0
35172.168,299-W14-74,0
36007.3867,299-W14-74,0
36850.957,299-W14-74,0
37702.9648,299-W14-74,0
38563.4922,299-W14-74,0
39432.625,299-W14-74,0
40310.4492,299-W14-74,0
41197.0508,299-W14-74,0
42092.5195,299-W14-74,0
42996.9414,299-W14-74,0
43910.4063,299-W14-74,0
44833,299-W14-74,0
31,299-W12-2,20.45834167
59,299-W12-2,16.96864316
90,299-W12-2,20.32253783
120,299-W12-2,17.89835493
151,299-W12-2,18.03905661
181,299-W12-2,17.37258996
212,299-W12-2,19.40379341
243,299-W12-2,18.67422785
273,299-W12-2,14.97803749
304,299-W12-2,15.69442144
334,299-W12-2,14.81805868
365,299-W12-2,13.7631193
396,299-W12-2,11.84891286
425,299-W12-2,12.40345787
456,299-W12-2,10.70506893
486,299-W12-2,0.2125444
517,299-W12-2,0.021385075
547,299-W12-2,0
578,299-W12-2,7.498371433
609,299-W12-2,7.978439875
639,299-W12-2,15.44212835
670,299-W12-2,8.427586563
700,299-W12-2,12.25924314
731,299-W12-2,13.38776173
762,299-W12-2,14.11361808
790,299-W12-2,12.2448996
821,299-W12-2,7.373766233
851,299-W12-2,6.792509705
882,299-W12-2,11.55878469
912,299-W12-2,12.12534287
943,299-W12-2,14.54132638
974,299-W12-2,10.91933397
1004,299-W12-2,15.13574563
