Month_End,WELL_NAME,MASS_KG
08/31/2019,299-W19-125,0.814780901
09/30/2019,299-W19-125,0.82702222
10/31/2019,299-W19-125,0.847289423
11/30/2019,299-W19-125,0.902989215
12/31/2019,299-W19-125,0.967742059
01/31/2020,299-W19-125,0.986933231
02/29/2020,299-W19-125,0.927797959
03/31/2020,299-W19-125,0.993102181
04/30/2020,299-W19-125,0.964566024
05/31/2020,299-W19-125,0.968974887
06/30/2020,299-W19-125,0.941573693
07/31/2020,299-W19-125,0.997243972
08/31/2020,299-W19-125,0.922530866
09/30/2020,299-W19-125,0.856747336
10/31/2020,299-W19-125,0.677764546
11/30/2020,299-W19-125,0.705598437
12/31/2020,299-W19-125,0.72480297
01/31/2021,299-W19-125,0.75995132
02/28/2021,299-W19-125,0.710685971
03/31/2021,299-W19-125,0.797559304
04/30/2021,299-W19-125,0.713010101
05/31/2021,299-W19-125,0.69381214
06/30/2021,299-W19-125,0.60232502
07/31/2021,299-W19-125,0.564441517
08/31/2021,299-W19-125,0.599964838
09/30/2021,299-W19-125,0.598898592
10/31/2021,299-W19-125,0.648767526
11/30/2021,299-W19-125,0.65230592
12/31/2021,299-W19-125,0.672314736
01/31/2022,299-W19-125,0.629133683
02/28/2022,299-W19-125,0.54203585
03/31/2022,299-W19-125,0.463445653
04/30/2022,299-W19-125,0.555745717
05/31/2022,299-W19-125,0.560128528
06/30/2022,299-W19-125,0.424114339
07/31/2022,299-W19-125,0.580392574
08/31/2022,299-W19-125,0.586036287
09/30/2022,299-W19-125,0.545205982
10/31/2022,299-W19-125,0.557091671
11/30/2022,299-W19-125,0.523805062
12/31/2022,299-W19-125,0.505348617
01/31/2023,299-W19-125,0.428438809
02/28/2023,299-W19-125,0.379117201
03/31/2023,299-W19-125,0.414561666
04/30/2023,299-W19-125,0.399870788
05/31/2023,299-W19-125,0.399430273
06/30/2023,299-W19-125,0.346756702
07/31/2023,299-W19-125,0.259496888
08/31/2023,299-W19-125,0.332286689
09/30/2023,299-W19-125,0.279575373
10/31/2023,299-W19-125,0.346558997
11/30/2023,299-W19-125,0.292711093
12/31/2023,299-W19-125,0.295247999
01/31/2024,299-W19-125,0.263862404
02/29/2024,299-W19-125,0.251727888
03/31/2024,299-W19-125,0.275606527
04/30/2024,299-W19-125,0.244901946
05/31/2024,299-W19-125,0.251029228
06/30/2024,299-W19-125,0.235631252
07/31/2024,299-W19-125,0.231719464
08/31/2024,299-W19-125,0.188166307
09/30/2024,299-W19-125,0.001621817
10/31/2024,299-W19-125,0.194515656
11/30/2024,299-W19-125,0.181627086
12/31/2024,299-W19-125,0.184255676
07/31/2012,299-W22-92,0
08/31/2012,299-W22-92,0.011130151
09/30/2012,299-W22-92,0.044324583
10/31/2012,299-W22-92,0.164207344
11/30/2012,299-W22-92,0.304423398
12/31/2012,299-W22-92,0.251528966
01/31/2013,299-W22-92,0.422635402
02/28/2013,299-W22-92,0.344248228
03/31/2013,299-W22-92,0.338017111
04/30/2013,299-W22-92,0.294789719
05/31/2013,299-W22-92,0.338120302
06/30/2013,299-W22-92,0.356607047
07/31/2013,299-W22-92,0.391111017
08/31/2013,299-W22-92,0.374731843
09/30/2013,299-W22-92,0.21969137
10/31/2013,299-W22-92,0.041509311
11/30/2013,299-W22-92,0.346406719
12/31/2013,299-W22-92,0.377963332
01/31/2014,299-W22-92,0.39399229
02/28/2014,299-W22-92,0.334771642
